,Reaction_original_index,substrate,substrate_id,boronreagent,boronreagent_id,ligand,ligand_id,axial_chirality,yield,%top
526,1966,CCC/C=C/C=O,85,Cc1cc(C)cc([B-](OC(C)C)(OC(C)C)OC(C)C)c1.[Li+],61,CC([P@@](C)C1=NC2=CC=CC=C2N=C1[P@@](C(C)(C)C)C)(C)C,L1.68,NoChiralAxis,72.0,8.5
527,1971,O=C/C=C/c1ccccc1,87,COc1ccc(B(O)O)cc1,10,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,33.0,5.5
528,1984,CCCCC/C=C/C=O,92,C=C(C)[B-](F)(F)F.[K+],90,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,50.0
529,2108,CC(C)O/C=C/C(=O)OC(C)(C)C,93,c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,13,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.1,R,86.0,0.5
530,2113,C/C=C/C(=O)OC,95,COc1cccc(B(O)O)c1,18,CN(P1OC2=C(C3=C(O1)C=C(COCC4=CC(OP(N(C)C)O5)=C(C6=C5C=CC7=C6C=CC=C7)C8=C4C=CC=C8)C9=C3C=CC=C9)C%10=C(C=C2)C=CC=C%10)C,L1.90,R,57.0,12.5
531,2114,C/C=C/C(=O)OCC,96,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,81.0,93.5
532,2115,C/C=C/C(=O)OCC,96,OB(O)c1ccc(Br)cc1,23,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,79.0,3.5
533,2116,C/C=C/C(=O)OC(C)C,97,Cc1ccccc1B(O)O,6,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,35.0,97.0
534,2117,C/C=C/C(=O)OC(C)C,97,COc1ccccc1B(O)O,14,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,43.0,99.0
535,2118,C/C=C/C(=O)OC(C)C,97,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,91.0,95.5
536,2120,C/C=C/C(=O)OC(C)C,97,COc1cccc(B(O)O)c1,18,CC1(C)O[C@@H](CP(C2=CC=CC=C2)C3=CC=CC=C3)[C@H](CP(C4=CC=CC=C4)C5=CC=CC=C5)O1,L1.56,NoChiralAxis,45.0,46.5
537,2121,C/C=C/C(=O)OC(C)C,97,COc1cccc(B(O)O)c1,18,C[C@H]1CC[C@H](C)P1C2=CC=CC=C2P3[C@@H](C)CC[C@@H]3C,L1.60,NoChiralAxis,92.0,35.5
538,2122,C/C=C/C(=O)OC(C)C,97,COc1cccc(B(O)O)c1,18,C[C@@H](P(C1=CC=CC=C1)C2=CC=CC=C2)[C@@H](C)P(C3=CC=CC=C3)C4=CC=CC=C4,L1.65,NoChiralAxis,97.0,12.5
539,2124,C/C=C/C(=O)OC(C)C,97,Cc1ccc(B(O)O)cc1,12,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,89.0,96.0
540,2125,C/C=C/C(=O)OC(C)C,97,COc1ccc(B(O)O)cc1,10,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,55.0,96.0
541,2126,C/C=C/C(=O)OC(C)C,97,COc1ccc(B(O)O)cc1,10,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,82.0,96.0
542,2127,C/C=C/C(=O)OC(C)(C)C,98,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,98.0,94.0
543,2129,C/C=C/C(=O)OC(C)(C)C,98,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,54.0,96.0
544,2130,C/C=C/C(=O)OC1CCCCC1,99,COc1cccc(B(O)O)c1,18,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,97.0,95.5
545,2131,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,90.0,92.5
546,2132,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,48.0,94.0
547,2133,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,93.5
548,2134,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,98.0,93.0
549,2135,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,98.0,93.0
550,2136,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,98.0,93.0
551,2137,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,64.0,66.5
552,2138,C/C=C/C(=O)OCc1ccccc1,100,OB(O)c1ccccc1,7,C12=CC=CC=C1C=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2C5=C(C=CC=C6)C6=CC=C5P(C7=CC=CC=C7)C8=CC=CC=C8,L1.18,S,99.0,93.5
